Form,Obama median,Trump median,Biden median
I-90,6.1,7.9,3.2
I-102,2.65,3.9,4.6
l-129F,3.25,4.9,10.55
I-130,5.15,7.95,10.8
I-131 (Advance Parole),2.25,4.05,6.55
I-131 (Parole in place),2.15,3.3,4.8
I-131,4.05,3.45,12.6
I-140,4.9,6.55,7.45
I-360,4.65,12.35,6.15
I-485 (Asylum),3.45,6.45,18.1
I-485 (Refugee),4.95,7.85,13.8
I-485 (Employment),4.75,9.4,9.25
I-485 (Family),5.55,9.75,11.0
I-485 (Cuban),8.1,7.35,4.9
I-485 (Other),7.45,17.85,7.85
I-526,12.25,18.45,47.1
I-539,2.5,3.9,6.3
I-600,3.15,2.05,5.95
I-600,1.6,1.95,3.0
l-601A,4.05,6.65,36.7
I-730,4.9,11.7,13.9
I-751,7.2,14.35,19.5
I-765 (Employment authorization),2.05,2.7,3.1
I-765 (DACA),3.25,1.15,1.4
I-765 (Asylum),1.7,1.85,2.4
I-765 (I-485),2.25,4.45,6.1
I-765 (Other),2.05,4.1,0.95
I-800,0.5,0.6,0.95
I-817,5.25,8.8,7.2
I-821,2.35,3.15,8.1
I-821D (DACA-initial),4.4,7.8,5.9
I-821D (DACA-renewal),2.4,1.15,1.4
I-824,2.6,5.95,5.2
I-829,8.5,23.3,43.45
I-914,6.4,14.15,13.25
I-918,14.0,45.25,55.55
I-924,12.9,19.05,22.1
N-400,5.05,9.4,8.3
N-565,5.55,3.75,7.4
N-600,6.25,7.45,6.05
Waivers,6.5,9.85,9.8
